title,image,runtime,genre,certificate,rating,metascore,description,votes,gross
The Lion King,"https://m.media-amazon.com/images/M/MV5BMjIwMjE1Nzc4NV5BMl5BanBnXkFtZTgwNDg4OTA1NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",118 min,"Animation, Adventure, Drama",U,6.9,55.0,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.","197,034",$543.64M
Artemis Fowl,"https://m.media-amazon.com/images/M/MV5BYWFmYjBiYzItYjBlOS00NThkLTljMWEtYzQ4NTdlNDlmMjg0XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX67_CR0,0,67,98_AL_.jpg",95 min,"Adventure, Family, Fantasy",U,4.1,31.0,"Artemis Fowl, a young criminal prodigy, hunts down a secret society of fairies to find his missing father.","15,688",
Little House on the Prairie,"https://m.media-amazon.com/images/M/MV5BMTg0NzQ4MDAtYmNlYi00OGExLWE3YjItNzEyOWI3MGE3NzRkXkEyXkFqcGdeQXVyMzU3MTc5OTE@._V1_UX67_CR0,0,67,98_AL_.jpg",60 min,"Drama, Family, Romance",PG,7.4,20.0,The life and adventures of the Ingalls family in the nineteenth century American Midwest.,"16,150",
The Last Airbender,"https://m.media-amazon.com/images/M/MV5BMTM1NjE0NDA0MV5BMl5BanBnXkFtZTcwODE4NDg1Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",103 min,"Action, Adventure, Family",PG,4.1,20.0,"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.","148,605",$131.56M
Feel the Beat,"https://m.media-amazon.com/images/M/MV5BMmIxZWMxYjktZWY1OS00MWVkLTljZDQtYWMxYTdmOWY0NzM4XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_UX67_CR0,0,67,98_AL_.jpg",109 min,"Comedy, Drama, Family",7,6.3,46.0,"After failing to find success on Broadway, April returns to her hometown and reluctantly is recruited to train a misfit group of young dancers for a big competition.","5,159",
My Spy,"https://m.media-amazon.com/images/M/MV5BNzMyOWRjYjUtMjc2OC00MWUyLWEzODktYWZlZDYxYjk4MDViXkEyXkFqcGdeQXVyODE0OTU5Nzg@._V1_UX67_CR0,0,67,98_AL_.jpg",99 min,"Action, Comedy, Family",PG-13,6.3,46.0,"A hardened CIA operative finds himself at the mercy of a precocious 9-year-old girl, having been sent undercover to surveil her family.","14,433",
Spider-Man: Into the Spider-Verse,"https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_UX67_CR0,0,67,98_AL_.jpg",117 min,"Animation, Action, Adventure",U,8.4,87.0,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","330,149",$190.24M
Mary Poppins,"https://m.media-amazon.com/images/M/MV5BNmJkODczNjItNDI5Yy00MGI1LTkyOWItZDNmNjM4ZGI1ZDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",139 min,"Comedy, Family, Fantasy",G,7.8,88.0,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.","153,688",$102.27M
Onward,"https://m.media-amazon.com/images/M/MV5BMTZlYzk3NzQtMmViYS00YWZmLTk5ZTEtNWE0NGVjM2MzYWU1XkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",102 min,"Animation, Adventure, Comedy",U,7.4,61.0,Two elven brothers embark on a quest to bring their father back for one day.,"72,342",
Aladdin,"https://m.media-amazon.com/images/M/MV5BMjQ2ODIyMjY4MF5BMl5BanBnXkFtZTgwNzY4ODI2NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",128 min,"Adventure, Family, Fantasy",U,7.0,53.0,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"212,402",$355.56M
